"group","id","year","x","repeat","chem","unit"
1,1,76,10.4,1,"Lead","mcg m-3"
1,1,76,11.4,2,"Lead","mcg m-3"
1,1,76,17.1,3,"Lead","mcg m-3"
1,1,76,28.9,4,"Lead","mcg m-3"
1,1,76,12.4,5,"Lead","mcg m-3"
1,1,76,10,6,"Lead","mcg m-3"
1,1,76,24.6,7,"Lead","mcg m-3"
1,1,76,21.5,8,"Lead","mcg m-3"
1,1,76,11.3,9,"Lead","mcg m-3"
1,1,76,15,10,"Lead","mcg m-3"
1,1,76,30.4,11,"Lead","mcg m-3"
1,1,76,25.4,12,"Lead","mcg m-3"
1,1,76,34,13,"Lead","mcg m-3"
1,1,76,3.9,14,"Lead","mcg m-3"
1,1,76,14.4,15,"Lead","mcg m-3"
1,1,76,18.6,16,"Lead","mcg m-3"
1,1,76,56.4,17,"Lead","mcg m-3"
1,1,76,25.6,18,"Lead","mcg m-3"
1,1,76,10,19,"Lead","mcg m-3"
1,1,76,21.9,20,"Lead","mcg m-3"
1,1,76,12.9,21,"Lead","mcg m-3"
1,1,76,8.6,22,"Lead","mcg m-3"
1,1,76,19.6,23,"Lead","mcg m-3"
1,1,76,13,24,"Lead","mcg m-3"
1,1,76,10.2,25,"Lead","mcg m-3"
1,1,76,19.5,26,"Lead","mcg m-3"
1,1,76,20.2,27,"Lead","mcg m-3"
1,1,76,15.9,28,"Lead","mcg m-3"
1,1,76,9,29,"Lead","mcg m-3"
1,1,76,9.5,30,"Lead","mcg m-3"
1,1,76,19.1,31,"Lead","mcg m-3"
1,1,76,9,32,"Lead","mcg m-3"
1,1,76,25.7,33,"Lead","mcg m-3"
1,1,76,46.9,34,"Lead","mcg m-3"
1,1,76,7.9,35,"Lead","mcg m-3"
1,1,76,22.2,36,"Lead","mcg m-3"
1,2,76,30.8,1,"Lead","mcg m-3"
1,2,76,1.3,2,"Lead","mcg m-3"
1,2,76,23.8,3,"Lead","mcg m-3"
1,2,76,10.1,4,"Lead","mcg m-3"
1,2,76,11.4,5,"Lead","mcg m-3"
1,2,76,7.5,6,"Lead","mcg m-3"
1,2,76,50.1,7,"Lead","mcg m-3"
1,2,76,18,8,"Lead","mcg m-3"
1,2,76,56.5,9,"Lead","mcg m-3"
1,2,76,9.7,10,"Lead","mcg m-3"
1,2,76,13.7,11,"Lead","mcg m-3"
1,2,76,40.9,12,"Lead","mcg m-3"
1,2,76,20.8,13,"Lead","mcg m-3"
1,2,76,62.6,14,"Lead","mcg m-3"
1,2,76,19.2,15,"Lead","mcg m-3"
1,2,76,21,16,"Lead","mcg m-3"
1,2,76,3.2,17,"Lead","mcg m-3"
1,2,76,17.7,18,"Lead","mcg m-3"
1,2,76,13.1,19,"Lead","mcg m-3"
1,2,76,34,20,"Lead","mcg m-3"
1,2,76,16.7,21,"Lead","mcg m-3"
1,2,76,13.5,22,"Lead","mcg m-3"
1,2,76,10.1,23,"Lead","mcg m-3"
1,3,76,9.7,1,"Lead","mcg m-3"
1,3,76,5.1,2,"Lead","mcg m-3"
1,3,76,15.2,3,"Lead","mcg m-3"
1,3,76,34.8,4,"Lead","mcg m-3"
1,3,76,8.7,5,"Lead","mcg m-3"
1,3,76,14.7,6,"Lead","mcg m-3"
1,3,76,13.3,7,"Lead","mcg m-3"
1,3,76,6.6,8,"Lead","mcg m-3"
1,3,76,5.2,9,"Lead","mcg m-3"
1,3,76,7.7,10,"Lead","mcg m-3"
1,3,76,7.7,11,"Lead","mcg m-3"
1,3,76,23.7,12,"Lead","mcg m-3"
1,3,76,18.8,13,"Lead","mcg m-3"
1,3,76,21.4,14,"Lead","mcg m-3"
1,3,76,7.1,15,"Lead","mcg m-3"
1,3,76,17.8,16,"Lead","mcg m-3"
1,3,76,10.2,17,"Lead","mcg m-3"
1,3,76,16.5,18,"Lead","mcg m-3"
1,3,76,11.2,19,"Lead","mcg m-3"
1,3,76,16,20,"Lead","mcg m-3"
1,3,76,16.8,21,"Lead","mcg m-3"
1,3,76,17.7,22,"Lead","mcg m-3"
1,3,76,7.7,23,"Lead","mcg m-3"
1,3,76,19.7,24,"Lead","mcg m-3"
1,3,76,8.8,25,"Lead","mcg m-3"
1,3,76,9.2,26,"Lead","mcg m-3"
1,3,76,9.3,27,"Lead","mcg m-3"
1,3,76,4.3,28,"Lead","mcg m-3"
1,3,76,4.9,29,"Lead","mcg m-3"
1,3,76,8.5,30,"Lead","mcg m-3"
1,3,76,14.5,31,"Lead","mcg m-3"
1,3,76,40.4,32,"Lead","mcg m-3"
1,3,76,9.2,33,"Lead","mcg m-3"
1,3,76,27.8,34,"Lead","mcg m-3"
1,4,76,25.1,1,"Lead","mcg m-3"
1,4,76,6.1,2,"Lead","mcg m-3"
1,4,76,19.9,3,"Lead","mcg m-3"
1,4,76,61.1,4,"Lead","mcg m-3"
1,4,76,8.1,5,"Lead","mcg m-3"
1,4,76,13.8,6,"Lead","mcg m-3"
1,4,76,26.5,7,"Lead","mcg m-3"
1,4,76,5.8,8,"Lead","mcg m-3"
1,4,76,6.8,9,"Lead","mcg m-3"
1,4,76,6.9,10,"Lead","mcg m-3"
1,4,76,5,11,"Lead","mcg m-3"
1,4,76,20,12,"Lead","mcg m-3"
1,4,76,19.6,13,"Lead","mcg m-3"
1,4,76,13.2,14,"Lead","mcg m-3"
1,4,76,9.4,15,"Lead","mcg m-3"
1,4,76,9.9,16,"Lead","mcg m-3"
1,4,76,7.9,17,"Lead","mcg m-3"
1,4,76,22.5,18,"Lead","mcg m-3"
1,4,76,22.6,19,"Lead","mcg m-3"
1,4,76,24.6,20,"Lead","mcg m-3"
1,4,76,20.1,21,"Lead","mcg m-3"
1,4,76,39.3,22,"Lead","mcg m-3"
1,4,76,24.4,23,"Lead","mcg m-3"
1,4,76,14,24,"Lead","mcg m-3"
1,4,76,10.6,25,"Lead","mcg m-3"
1,4,76,31.9,26,"Lead","mcg m-3"
1,4,76,6.3,27,"Lead","mcg m-3"
1,4,76,10.1,28,"Lead","mcg m-3"
1,4,76,6.9,29,"Lead","mcg m-3"
1,4,76,21.3,30,"Lead","mcg m-3"
1,4,76,10.3,31,"Lead","mcg m-3"
1,4,76,10.8,32,"Lead","mcg m-3"
1,4,76,21.5,33,"Lead","mcg m-3"
1,4,76,55,34,"Lead","mcg m-3"
1,4,76,19.9,35,"Lead","mcg m-3"
1,4,76,7.6,36,"Lead","mcg m-3"
1,5,76,8.8,1,"Lead","mcg m-3"
1,5,76,20.8,2,"Lead","mcg m-3"
1,5,76,18.9,3,"Lead","mcg m-3"
1,5,76,59.7,4,"Lead","mcg m-3"
1,5,76,35,5,"Lead","mcg m-3"
1,5,76,23.2,6,"Lead","mcg m-3"
1,5,76,15.7,7,"Lead","mcg m-3"
1,5,76,53.5,8,"Lead","mcg m-3"
1,5,76,24.4,9,"Lead","mcg m-3"
1,5,76,11.5,10,"Lead","mcg m-3"
1,5,76,15.7,11,"Lead","mcg m-3"
1,5,76,31.4,12,"Lead","mcg m-3"
1,5,76,33.5,13,"Lead","mcg m-3"
1,5,76,26.9,14,"Lead","mcg m-3"
1,5,76,39.9,15,"Lead","mcg m-3"
1,5,76,11.3,16,"Lead","mcg m-3"
1,5,76,26.9,17,"Lead","mcg m-3"
1,5,76,11.8,18,"Lead","mcg m-3"
1,5,76,14.7,19,"Lead","mcg m-3"
1,5,76,12.4,20,"Lead","mcg m-3"
1,5,76,13.1,21,"Lead","mcg m-3"
1,5,76,33.1,22,"Lead","mcg m-3"
1,5,76,11,23,"Lead","mcg m-3"
1,5,76,27.5,24,"Lead","mcg m-3"
1,5,76,18.6,25,"Lead","mcg m-3"
1,5,76,15,26,"Lead","mcg m-3"
1,5,76,8.9,27,"Lead","mcg m-3"
1,5,76,18.1,28,"Lead","mcg m-3"
1,5,76,16.7,29,"Lead","mcg m-3"
1,5,76,16.7,30,"Lead","mcg m-3"
1,5,76,31,31,"Lead","mcg m-3"
1,5,76,22.9,32,"Lead","mcg m-3"
1,5,76,22.9,33,"Lead","mcg m-3"
1,6,76,12,1,"Lead","mcg m-3"
1,6,76,10.9,2,"Lead","mcg m-3"
1,6,76,8.6,3,"Lead","mcg m-3"
1,6,76,38.2,4,"Lead","mcg m-3"
1,6,76,7.3,5,"Lead","mcg m-3"
1,6,76,13.8,6,"Lead","mcg m-3"
1,6,76,10.8,7,"Lead","mcg m-3"
1,6,76,10.3,8,"Lead","mcg m-3"
1,6,76,8.1,9,"Lead","mcg m-3"
1,6,76,12,10,"Lead","mcg m-3"
1,6,76,8.1,11,"Lead","mcg m-3"
1,6,76,19.4,12,"Lead","mcg m-3"
1,6,76,29,13,"Lead","mcg m-3"
1,6,76,18.3,14,"Lead","mcg m-3"
1,6,76,30.6,15,"Lead","mcg m-3"
