"group","id","year","x","repeat","chem","unit"
"4","1","87",19.38731246,"1","Styr","mg m-3"
"4","1","87",18.73072649,"2","Styr","mg m-3"
"4","1","87",21.55883761,"3","Styr","mg m-3"
"4","1","87",56.1976642,"4","Styr","mg m-3"
"4","1","88",48.00085445,"5","Styr","mg m-3"
"4","2","87",66.86628219,"1","Styr","mg m-3"
"4","2","87",75.07928968,"2","Styr","mg m-3"
"4","2","87",81.13554093,"3","Styr","mg m-3"
"4","2","87",184.2096389,"4","Styr","mg m-3"
"4","2","88",220.5003865,"5","Styr","mg m-3"
"4","2","88",222.2246407,"6","Styr","mg m-3"
"4","2","88",155.3045874,"7","Styr","mg m-3"
"4","3","87",60.51633681,"1","Styr","mg m-3"
"4","3","87",131.0638151,"2","Styr","mg m-3"
"4","3","87",185.0488556,"3","Styr","mg m-3"
"4","3","87",84.6575497,"4","Styr","mg m-3"
"4","3","88",178.8789122,"5","Styr","mg m-3"
"4","3","88",6.636098906,"6","Styr","mg m-3"
"4","3","88",157.2955539,"7","Styr","mg m-3"
"4","4","87",206.2476826,"1","Styr","mg m-3"
"4","4","87",303.6844496,"2","Styr","mg m-3"
"4","4","87",166.6270022,"3","Styr","mg m-3"
"4","4","87",108.6060045,"4","Styr","mg m-3"
"4","4","88",96.78162971,"5","Styr","mg m-3"
"4","4","88",114.8734389,"6","Styr","mg m-3"
"4","4","88",264.4661566,"7","Styr","mg m-3"
"4","5","87",67.86289395,"1","Styr","mg m-3"
"4","5","87",50.65899021,"2","Styr","mg m-3"
"4","5","87",210.812298,"3","Styr","mg m-3"
"4","6","87",107.5014075,"1","Styr","mg m-3"
"4","6","87",118.4575104,"2","Styr","mg m-3"
"4","6","87",133.3295178,"3","Styr","mg m-3"
"4","6","87",82.6514524,"4","Styr","mg m-3"
"4","6","88",138.2666268,"5","Styr","mg m-3"
"4","6","88",153.6273185,"6","Styr","mg m-3"
"4","6","88",361.125922,"7","Styr","mg m-3"
"4","7","87",2.778472396,"1","Styr","mg m-3"
"4","7","87",10.15405366,"2","Styr","mg m-3"
"4","7","87",31.63631044,"3","Styr","mg m-3"
"4","7","87",47.04898447,"4","Styr","mg m-3"
"4","7","88",72.6132747,"5","Styr","mg m-3"
"4","7","88",82.00169255,"6","Styr","mg m-3"
"4","8","87",74.42254082,"1","Styr","mg m-3"
"4","8","87",179.7534149,"2","Styr","mg m-3"
"4","8","87",86.23075417,"3","Styr","mg m-3"
"4","8","87",82.28761602,"4","Styr","mg m-3"
"4","8","88",163.5320314,"5","Styr","mg m-3"
"4","9","87",32.07872675,"1","Styr","mg m-3"
"4","9","87",58.53736161,"2","Styr","mg m-3"
"4","9","87",39.51748111,"3","Styr","mg m-3"
"4","9","87",49.01603676,"4","Styr","mg m-3"
"4","9","88",66.6106787,"5","Styr","mg m-3"
"4","9","88",69.2255531,"6","Styr","mg m-3"
"4","9","88",150.0577984,"7","Styr","mg m-3"
"4","10","87",30.59708016,"1","Styr","mg m-3"
"4","10","87",55.9988482,"2","Styr","mg m-3"
"4","10","87",35.08809734,"3","Styr","mg m-3"
"4","10","87",42.44922342,"4","Styr","mg m-3"
"4","10","88",70.5223377,"5","Styr","mg m-3"
"4","10","88",64.07151568,"6","Styr","mg m-3"
"4","10","88",154.1386912,"7","Styr","mg m-3"
"4","11","87",122.4079397,"1","Styr","mg m-3"
"4","11","87",87.95597811,"2","Styr","mg m-3"
"4","11","88",209.557945,"3","Styr","mg m-3"
"4","12","87",157.5782606,"1","Styr","mg m-3"
"4","12","87",233.6149514,"2","Styr","mg m-3"
"4","12","87",181.3981671,"3","Styr","mg m-3"
"4","12","87",244.7127376,"4","Styr","mg m-3"
"4","12","88",188.0095779,"5","Styr","mg m-3"
"4","12","88",194.6322778,"6","Styr","mg m-3"
"4","13","87",241.1702558,"1","Styr","mg m-3"
"4","13","87",383.997108,"2","Styr","mg m-3"
"4","13","87",139.0329917,"3","Styr","mg m-3"
"4","13","88",204.396254,"4","Styr","mg m-3"
"4","13","88",284.5902272,"5","Styr","mg m-3"
"4","13","88",71.01013605,"6","Styr","mg m-3"
"4","14","87",74.20254108,"1","Styr","mg m-3"
"4","14","87",221.6746316,"2","Styr","mg m-3"
"4","15","87",89.9313461,"1","Styr","mg m-3"
"4","15","87",179.084859,"2","Styr","mg m-3"
"4","15","87",208.4678287,"3","Styr","mg m-3"
"4","16","87",189.825923,"1","Styr","mg m-3"
"4","16","87",213.7763651,"2","Styr","mg m-3"
"4","16","87",153.3213619,"3","Styr","mg m-3"
"4","16","87",176.7862431,"4","Styr","mg m-3"
"4","16","88",391.3281561,"5","Styr","mg m-3"
"4","16","88",287.0432741,"6","Styr","mg m-3"
"4","17","87",108.7678573,"1","Styr","mg m-3"
"4","17","87",188.6278687,"2","Styr","mg m-3"
"4","17","87",89.46654139,"3","Styr","mg m-3"
"4","17","87",123.0990826,"4","Styr","mg m-3"
"4","17","88",175.7961435,"5","Styr","mg m-3"
"4","17","88",131.2642224,"6","Styr","mg m-3"
"4","17","88",169.3083221,"7","Styr","mg m-3"
"4","18","87",178.2038548,"1","Styr","mg m-3"
"4","18","87",6.317618258,"2","Styr","mg m-3"
"4","18","87",256.0793247,"3","Styr","mg m-3"
"4","18","88",275.5898737,"4","Styr","mg m-3"
"4","19","87",69.57193228,"1","Styr","mg m-3"
"4","19","87",43.57149894,"2","Styr","mg m-3"
"4","19","88",140.4933993,"3","Styr","mg m-3"
"4","19","88",66.71050603,"4","Styr","mg m-3"
"4","19","88",199.2209886,"5","Styr","mg m-3"
